"R","R_error","Freq","FWHM"
2.0,0.01,6760.60,380.48
2.5,0.01,6817.90,340.66
3.0,0.01,6847.41,351.32
3.5,0.01,6855.13,440.38
4.0,0.01,6760.17,436.54
4.5,0.01,6640.17,514.46
5.0,0.01,6745.77,427.90
5.5,0.01,6509.20,581.28
6.0,0.01,6251.42,340.20
6.5,0.01,5883.84,556.98
7.0,0.01,5254.17,592.78
7.5,0.01,4760.73,783.96
8.0,0.01,4090.05,1569.52
8.5,0.01,3603.51,974.44
9.0,0.01,2829.59,721.68
9.5,0.01,1741.60,433.12
10.0,0.01,1029.89,782.18
