"R","R_error","Freq","FWHM"
4.5,0.01,865.55,449.49
5.5,0.01,797.59,92.50
6.5,0.01,2915.40,738.86
7.5,0.01,3317.05,360.66
8.5,0.01,1776.90,2214.48
9.5,0.01,2998.56,775.02
10.5,0.01,4488.60,698.80
11.5,0.01,5422.18,418.47
12.5,0.01,5894.11,273.10
13.5,0.01,6228.08,315.76
14.5,0.01,6818.63,430.27
15.5,0.01,1434.25,2388.40
16.5,0.01,2610.18,1144.13



