"R","R_error","Freq","FWHM"
4.5,0.01,,
5.5,0.01,,
6.5,0.01,,
7.5,0.01,,
8.5,0.01,,
9.5,0.01,,
10.5,0.01,,
11.5,0.01,,
12.5,0.01,,
13.5,0.01,,
14.5,0.01,,
15.5,0.01,,
16.5,0.01,,



