R;R_error;Freq;FWHM
8;0.01;4069.99;339.13
9;0.01;4480.99;100.78
10;0.01;4981.21;271.78
11;0.01;5340.22;130.35
12;0.01;5651.14;174.64
13;0.01;6029.3;236.62
14;0.01;6288.54;225.37
15;0.01;6641.95;225.98
16;0.01;2552.63;1120.24
17;0.01;2839.77;1349.18
