R;R_error;Freq;FWHM
9;0.01;2381.76;939.96
10;0.01;3644.41;1194.84
11;0.01;5176.54;165.72
12;0.01;5582.05;210.82
13;0.01;5916.14;180.08
14;0.01;6303.28;274.98
15;0.01;6320;260.58
16;0.01;2733.76;1002.17
17;0.01;2669.5;1044.08
