R;R_error;Freq;FWHM
8;0.01;5947.42;259.23
9;0.01;6154.23;232.01
10;0.01;6377.71;200.38
11;0.01;6387.97;241.6
12;0.01;6539.82;238.37
13;0.01;6484.39;251.37
14;0.01;6225.74;319.03
15;0.01;6000.94;528.72
16;0.01;5302.18;258.57
17;0.01;4448.5;519.42
