R;R_error;Freq;FWHM
8;0.01;4866.73;257.14
9;0.01;5215.63;232.83
10;0.01;5487.81;242.25
11;0.01;5722.47;160.54
12;0.01;5966.72;181
13;0.01;6223.34;194.5
14;0.01;6548.56;216.5
15;0.01;6876.52;177.15
16;0.01;7032.94;239.94
17;0.01;7003.2;240.05
