R;R_error;Freq;FWHM
8;0.01;5587.36;235.68
9;0.01;5851.03;208.47
10;0.01;6095.25;208.24
11;0.01;64342.92;209.77
12;0.01;6520.32;172.44
13;0.01;9703.75;157.66
14;0.01;6670.6;266.45
15;0.01;6436.4;378.38
16;0.01;5907.07;259.17
17;0.01;4914.95;393.09
