R;R_error;Freq;FWHM
8;0.01;5756.12;174.88
9;0.01;6068.95;219.95
10;0.01;6268.86;311.77
11;0.01;6466.65;229.3
12;0.01;6660.46;181.22
13;0.01;6717.16;289.45
14;0.01;6618.17;244.69
15;0.01;6205.51;129.52
16;0.01;5601.68;495.86
17;0.01;4660.76;171.32
