R;R_error;Freq;FWHM
8;0.01;5841.02;251.19
9;0.01;6043.94;250.88
10;0.01;6310.63;260.49
11;0.01;6468.81;227.68
12;0.01;6572.8;192.1
13;0.01;6605.74;231.61
14;0.01;6378.6;270.04
15;0.01;6113.87;230.01
16;0.01;5359.33;332.01
17;0.01;4635.39;160.37
