R;R_error;Freq;FWHM
8;0.01;5225.15;384.99
9;0.01;5166.79;240.01
10;0.01;5414.81;312.62
11;0.01;5644.83;418.77
12;0.01;8703.74;420.46
13;0.01;6271.66;317.59
14;0.01;6496.87;509.48
15;0.01;6777.97;822.18
16;0.01;6782.59;310.74
17;0.01;5249.98;367.78
