R;R_error;Freq;FWHM
8;0.01;3679.21;1616.6
9;0.01;4575.21;795.66
10;0.01;5057.25;792.14
11;0.01;5630.34;317.42
12;0.01;5865.44;687.72
13;0.01;6206.21;882.3
14;0.01;6463.19;146.83
15;0.01;7394.72;684.69
16;0.01;8728.32;483.44
17;0.01;8269.31;1051.82
