R;R_error;Freq;FWHM
8;0.01;5285.41;252.2
9;0.01;5575.1;311.58
10;0.01;5871.26;272.49
11;0.01;6135.6;311.61
12;0.01;6425.43;266.81
13;0.01;6679.4;284.26
14;0.01;6681.05;362.33
15;0.01;6454.07;158.45
16;0.01;5174.76;508.93
17;0.01;3346.27;1781.12
