R;R_error;Freq;FWHM
8;0.01;3941.91;387.46
9;0.01;4590.91;387.22
10;0.01;5140.03;316.75
11;0.01;5571.09;287.65
12;0.01;6022.71;257.96
13;0.01;6921.41;739.63
14;0.01;7407.99;1561.86
15;0.01;9274.54;275.41
16;0.01;11677.23;405.57
17;0.01;11910.26;547.26
