R;R_error;Freq;FWHM
8;0.01;4279.96;780.2
9;0.01;4925.01;614.32
10;0.01;5094.99;645.56
11;0.01;5611.13;269.66
12;0.01;5902.08;608.59
13;0.01;6290.04;581.16
14;0.01;6710.7;473.37
15;0.01;7355.37;496.77
16;0.01;7561.85;536.83
17;0.01;6200.95;1120.82
