R;R_error;Freq;FWHM
7;0.01;5958.73;240.03
8;0.01;6170.07;335.26
9;0.01;6388.26;303.26
10;0.01;6544.59;31856
11;0.01;6693.23;341.19
12;0.01;6707.14;315.84
13;0.01;6365.82;490.53
14;0.01;5465.32;11.49
15;0.01;4732.36;429.59
16;0.01;3117.08;1039.11
17;0.01;2465.67;1003.76
